    0.167799E+02    0.167799E+02    0.167799E+02    0.167799E+02
    0.783889E+02    0.783889E+02    0.783889E+02    0.783889E+02
   -0.231783E+01   -0.231783E+01   -0.231783E+01   -0.231783E+01
    0.185355E-01    0.185355E-01    0.185355E-01    0.185355E-01
   -0.147604E-01   -0.147604E-01   -0.147604E-01   -0.147604E-01
    0.572194E-01    0.572194E-01    0.572194E-01    0.572194E-01
    0.282590E+02    0.282590E+02    0.282590E+02    0.282590E+02
    0.714030E+02    0.714030E+02    0.714030E+02    0.714030E+02
   -0.179761E+00   -0.179761E+00   -0.179761E+00   -0.179761E+00
   -0.720198E-02   -0.720198E-02   -0.720198E-02   -0.720198E-02
    0.170783E+00    0.170783E+00    0.170783E+00    0.170783E+00
   -0.689408E-02   -0.689408E-02   -0.689408E-02   -0.689408E-02
   -0.225884E+00   -0.225884E+00   -0.225884E+00   -0.225884E+00
    0.127591E-01    0.127591E-01    0.127591E-01    0.127591E-01
    0.425404E-03    0.425404E-03    0.425404E-03    0.425404E-03
   -0.425871E-07   -0.425871E-07   -0.425871E-07   -0.425871E-07
    0.345589E-07    0.345589E-07    0.345589E-07    0.345589E-07
   -0.159977E-06   -0.159977E-06   -0.159977E-06   -0.159977E-06
   -0.396635E+00   -0.396635E+00   -0.396635E+00   -0.396635E+00
    0.140367E-01    0.140367E-01    0.140367E-01    0.140367E-01
    0.340069E-04    0.340069E-04    0.340069E-04    0.340069E-04
    0.977846E-08    0.977846E-08    0.977846E-08    0.977846E-08
   -0.472798E-06   -0.472798E-06   -0.472798E-06   -0.472798E-06
    0.260243E-07    0.260243E-07    0.260243E-07    0.260243E-07
