3941108.66002,5494970.84096,6036943.43018,7278850.0116,6760476.70182,8733164.10515,9084531.82106,9685530.60327,10102781.1406,10394841.7198,11332744.1112,11552353.1827,11591861.2799,12048266.9851,12168524.9299,12426737.2797,12527011.2219,13589977.5967,13228526.8977,13789996.5869,13898007.9814,13964621.6567,14067076.1627,14023158.9475,14168382.8983
3705151.85846,5013384.17274,5946314.55868,6482059.39363,6737086.38058,7901772.40843,8926575.41708,9366454.42808,9897789.1452,10317581.1742,10939442.7832,11063213.0255,11364387.7815,11920527.5368,11863317.9805,12408892.8491,12236934.246,12981423.3258,13205329.5379,13770917.4033,13807659.0539,13638747.8412,13988374.9053,13971019.3769,14063152.9475
3692403.40853,4541916.48043,5802510.32384,6378786.0514,6720648.66862,7840507.66322,8922988.13465,9256474.42738,9828174.0703,10281614.3686,10865311.6117,10956940.2832,11345224.6147,11859939.6562,11810755.4945,12389118.8045,12190147.6047,12863764.8611,13181244.3556,13554072.7788,13789264.7333,13624554.6803,13925907.4007,13865322.5195,13892866.01
3504838.92706,4496223.62037,5541422.54923,6333830.04395,6702158.36723,7673634.04295,8862344.26524,9254278.86656,9668212.0675,10270560.5797,10816037.468,10952263.2187,11336290.4018,11833356.9736,11707641.1205,12361126.4038,12149193.7967,12717733.0718,13177807.0432,13477972.0012,13713239.9406,13606175.3567,13867945.9947,13747910.0055,13870548.4741
3340920.71562,4467819.30209,5478601.1154,6161015.61202,6654710.85816,7589454.88131,8822065.32224,9173809.96276,9479200.87541,10269291.8335,10675194.6408,10949066.8581,11332684.1231,11609885.6745,11683964.8565,12334089.812,12123197.9967,12577066.2094,13080645.4784,13437751.0466,13583332.9259,13574374.7178,13862929.9981,13615194.5526,13795646.4568
3291102.68072,4453200.22634,5475198.79596,6123296.15705,6647108.37888,7551071.55913,8717679.20259,9092689.18935,9362380.24304,10172273.2401,10628398.0015,10917790.1144,11263318.9983,11476905.2746,11670534.5429,12247027.2271,12100227.5914,12337771.0756,13060773.4534,13370096.5795,13508493.8959,13554997.5938,13707556.0775,13569565.6797,13782981.9901
3233409.22114,4425071.85286,5405516.73447,6110527.71112,6631161.56872,7540870.59962,8638856.96941,9085488.62967,9354587.80176,10028228.0535,10604674.7469,10902007.2714,11258477.9666,11475209.6138,11661570.336,12169530.7287,12078499.9376,12310825.4655,12974758.659,13357882.0228,13469718.6521,13549127.7679,13687546.0801,13533296.9346,13753026.982
3212193.46493,4383838.10085,5351937.45193,6090664.68432,6627280.34509,7485069.76147,8614441.85316,8937395.25279,9336625.39478,9964197.86146,10554915.7002,10834934.688,11246342.3941,11426192.4187,11638749.9008,12033432.9524,12036140.4108,12286882.2549,12901008.4112,13255820.4382,13450234.5495,13483008.9937,13637421.1066,13522915.0113,13752195.1483
3178451.21439,4379032.0622,5291557.52973,6041439.53083,6604113.97905,7457697.23679,8528676.0089,8936861.35959,9331236.47273,9954189.86336,10539990.6856,10820985.4782,11147319.2017,11377161.2264,11557488.1556,11986806.2791,12025420.5551,12269708.6901,12899973.6182,13237969.009,13447001.1963,13452833.0298,13621655.2602,13522137.1668,13735882.4114
3142500.40563,4350982.67292,5271498.54213,6017556.30819,6537360.33179,7401216.53463,8453854.97536,8863754.98306,9293943.93236,9949717.75792,10499713.7422,10770279.6209,11128806.9047,11368706.9175,11493655.924,11904647.7133,12022391.161,12231734.2861,12899286.7556,13233077.9874,13357859.0274,13450068.5827,13322200.1602,13500357.5234,13705251.5385
