1727806.38688,1914723.99775,2311109.70872,2028400.25909,2365768.77526,2699769.965,3245763.74986,3136404.62497,2901230.66682,3270659.76991,2972476.41553,3166150.67487,3576920.50858,3574921.90836,3784431.00025,3954957.88976,3716149.65857,3673802.12935,4449207.0251,3491464.60232,4166519.57107,4024533.97245,3846309.62267,4164093.05645,3923823.11765,4145725.73047,4395089.85016,4400703.72722,4320021.86601,4340795.71062,5179963.85181,4924310.99005,5016575.53438,5268205.20089,4947592.33309,5195139.81616,5267847.27249,5011441.56132,5351958.44773,5356023.63457
1720617.82481,1750750.79731,2145868.76186,2026492.64067,2353812.16694,2570384.84591,2867692.37548,3125630.78006,2805704.77486,2934302.05155,2953694.17254,2975292.85216,3051305.64732,3391951.50793,3744386.01045,3785926.70107,3699725.9438,3610506.79031,4073097.25834,3464632.96945,4013927.09415,3918769.1286,3821515.58222,4012740.33154,3826793.52648,4139483.979,4212547.36413,4311478.57492,4295016.86776,4322760.31824,4663089.24224,4910291.79431,4973042.24234,5256349.57237,4935127.82636,5139652.91521,5124259.99425,5009742.90111,5130693.70732,5334035.03295
1702577.43343,1750173.91271,1899485.046,1999820.9758,2308522.22629,2507282.46828,2830220.87091,2738967.1244,2622797.36183,2909741.9643,2729676.9827,2924707.97065,3040759.75681,3370773.74411,3688452.19889,3756468.59357,3650562.77791,3566391.61467,4017848.30979,3421964.50443,3733414.20514,3843823.12005,3591439.60432,3579150.0626,3742497.38823,4019004.0786,4140000.87561,4272528.36613,4155410.79316,4317201.43018,4589533.9555,4837835.28779,4952757.29994,4965917.66747,4893627.12775,5105307.78526,5100752.69642,4991148.62052,5122232.39983,5238772.0884
1691243.70052,1679479.0538,1891983.54652,1998450.24999,2240044.9238,2499806.9636,2787963.32369,2662448.43043,2603936.13464,2613655.19054,2675374.84476,2778003.31599,3039105.0878,3317325.43538,3545092.87506,3717148.45878,3610930.70552,3556233.64657,3898418.19939,3371053.68812,3525118.87046,3842831.31844,3548370.21949,3531996.49473,3637534.38398,3891489.58532,3978829.1148,4044843.90986,4004266.02665,4305789.71287,4518966.0712,4831877.47953,4872389.37593,4936375.57677,4888351.18309,5078481.15139,5036917.46538,4918812.09,5116361.57417,5212587.32614
1421599.63742,1647842.38208,1836620.62077,1995096.92075,2226188.69547,2462414.44323,2684537.01205,2619871.947,2500680.78881,2578674.18779,2658824.15539,2772411.43453,2986988.51268,3305739.75286,3543719.14984,3636175.65577,3552538.38573,3478928.11,3861528.57842,3359359.0274,3486746.54607,3812924.30074,3531066.68072,3525626.76886,3636703.55017,3844682.94805,3911238.63492,4025867.70567,3999791.92161,4266794.51308,4495006.86376,4685529.75346,4859055.0432,4933646.12275,4834694.91596,5067752.29749,4966772.49648,4802296.39663,5108525.1417,5114299.98655
1282701.42123,1647339.48268,1773200.30674,1991447.65072,2149377.0601,2459001.12599,2586620.59827,2578773.16799,2452926.34113,2569167.0895,2637063.50818,2771541.60852,2920505.81121,3292717.35773,3515837.72697,3611732.54512,3505264.84186,3456067.68277,3694632.96255,3345898.71987,3362166.46583,3807463.39308,3514335.02755,3476103.67497,3635070.87676,3802914.30304,3893392.20474,3974346.01155,3920532.77581,4217896.29419,4444815.90346,4681328.59382,4853250.20434,4882812.29104,4828363.18249,5041337.58122,4921063.63962,4773790.09875,5108509.1449,5046543.53988
1209166.13049,1622230.50523,1733599.22814,1970307.87931,2084981.94105,2367142.50048,2579765.9694,2487823.36068,2451815.56332,2530265.87091,2581263.66982,2751855.54632,2913030.30654,3266020.69787,3476032.68917,3490871.72092,3487110.47328,3406372.62327,3623911.10905,3337114.47698,3356537.59177,3806382.60927,3504647.96525,3472890.31774,3618027.28599,3774161.05455,3867553.37328,3965141.85266,3899112.0606,4216754.52258,4369947.87931,4671208.61812,4840885.67762,4848088.23689,4815072.84096,5003638.12225,4906536.54548,4763845.08805,5098936.0598,5026687.51168
1164420.08105,1621310.68922,1709286.0915,1904442.05445,2053992.13994,2330688.79231,2560148.89341,2466399.64607,2430002.9265,2528714.18129,2570165.88971,2737583.40118,2843713.17204,3218034.29659,3465674.76106,3465499.79606,3471919.51193,3385760.74626,3605802.73127,3266909.52008,3326886.52288,3765980.69087,3480447.80601,3456884.51938,3567739.34508,3697454.39818,3865938.69627,3963730.13505,3882478.38783,4156236.62797,4366448.57927,4655884.68337,4832835.28794,4818349.18559,4807439.36788,4994859.87816,4874251.00355,4755626.73197,5056543.53958,5010869.67572
1121361.69402,1613581.23534,1692772.39473,1899343.0744,2014679.00375,2327861.35788,2513792.16614,2416523.62277,2373796.16954,2523976.12904,2543381.24744,2734743.96915,2814586.99815,3216981.50718,3453494.19754,3441026.69142,3442804.33583,3378535.19159,3565884.71607,3264548.99225,3316725.55537,3744902.90706,3454058.08475,3456386.61897,3429632.9705,3681127.66402,3858233.23759,3959100.0612,3855117.86076,4141706.53443,4365383.79226,4612246.41233,4777276.40138,4791490.55812,4806890.47768,4929551.94171,4851202.61392,4726486.56087,4997414.36718,4959477.9556
1059443.0796,1590951.76191,1639514.048,1895582.82656,2013987.14214,2302814.36803,2510082.90811,2405414.84486,2363835.16204,2483212.28304,2508361.25249,2665001.91966,2787422.43188,3146458.61387,3452927.31094,3433671.16274,3427292.43868,3372549.38893,3542197.45423,3254982.90576,3278303.24099,3726680.55207,3397318.43438,3430126.87171,3420768.74361,3660387.81261,3829677.9495,3957984.28439,3827499.38528,4119444.9874,4351318.60572,4583815.09945,4774433.96995,4787882.27989,4804218.01225,4923901.07205,4811003.65492,4725667.72467,4993026.24494,4951011.64912
