1476.26300469,1762.9607293,1686.54870425,1758.67833058,1895.90619761,2028.48636,1778.82878619,1992.6175691,1855.66487855,2035.77197354,1789.99178701,1946.35137416,1979.80508358,2431.37361096,2245.02766073,2211.07658764,2290.68019851,2506.64291152,2618.30345272,2762.43002124,2787.8730613,2316.26654322,2514.02238805,2624.10781093,2721.39513734,2785.88187503,3027.79959513,2760.91615539,2944.39029929,3172.66681744,3283.44652693,3198.46415612,3018.06733539,2930.68836273,3119.79485304,2943.98736141,2931.80695156,2710.32497827,3274.15087795
1374.4304014,1685.7200175,1651.10370447,1712.44266081,1723.98069097,1970.80218413,1752.16194597,1944.32931913,1844.8939839,1803.34925229,1729.02018119,1925.2495258,1927.88746059,2257.26970869,2077.99434108,2030.11279039,2250.8610614,2339.52550827,2472.07963604,2440.9792107,2510.52611881,2256.09893493,2506.91728256,2331.60951986,2532.84497399,2739.49918933,2805.56907923,2677.38171342,2862.21872828,3172.23705257,3229.73437714,3090.21280803,2912.18516219,2911.79617356,3027.38822306,2886.84123461,2892.32126443,2616.05384845,3050.64674323
1372.74102406,1682.10152073,1644.33150096,1693.69925941,1652.68630333,1838.44769851,1688.21060793,1898.88476835,1805.31897229,1760.84071436,1621.91819453,1777.44164465,1885.00906722,2136.1598126,2071.37482337,1955.01761476,2181.5085289,2320.09656363,2373.4599431,2391.0680083,2507.96274866,2227.87646339,2356.27937278,2318.3577652,2525.73079051,2598.78505157,2723.2901086,2639.33729644,2827.53163084,3146.35497915,2962.26054371,2994.72827498,2895.67271134,2828.5934134,2965.74018662,2878.4430936,2869.33914967,2590.73643569,2913.68884731
1371.30901344,1637.44576566,1619.3352016,1599.75384346,1613.61511534,1769.7519321,1671.39353032,1874.12082249,1695.52268528,1711.9825583,1608.74364068,1774.78840892,1823.37243206,2103.00035305,1993.92589797,1940.55914636,2147.17759943,2172.70870988,2353.81600057,2304.69812654,2496.67315557,2175.07191377,2351.73433201,2317.29817822,2489.11932077,2482.9492666,2720.93724282,2598.7305659,2811.89769696,3126.9854465,2936.19300423,2893.36367655,2895.16002205,2785.41201948,2958.53076356,2825.9308042,2824.92077294,2577.53995061,2900.2830861
1299.96596539,1622.45710267,1617.64405493,1596.37741624,1603.52491938,1721.60565693,1661.55199844,1779.04138775,1672.47833077,1702.28176577,1588.03553075,1741.03390274,1815.01370182,2037.07705887,1912.83286029,1936.45660185,2136.13409625,2172.2234233,2286.69874567,2105.23307953,2458.6735319,2159.95468923,2330.19426936,2307.36923682,2430.70349002,2468.05829639,2486.8697196,2598.42657851,2679.12816072,3082.95239788,2793.99271435,2871.4573748,2862.55371961,2709.76725572,2950.25345763,2766.1593184,2800.08825129,2568.03129389,2821.65239881
1279.30553207,1619.54466609,1599.32709116,1523.86346153,1579.03980204,1698.9733277,1657.2881622,1707.33641814,1651.93762892,1701.46153365,1571.51460251,1740.41265503,1755.24646097,1992.80933307,1879.44041119,1909.71957524,2121.04643555,2163.60794487,2256.28303674,2094.25917548,2439.67084011,2142.94673081,2329.86297625,2280.52862938,2427.78370337,2415.71848745,2482.18579779,2562.28575559,2675.48959327,3018.25964922,2785.39944302,2815.13356352,2792.06851745,2690.6359743,2930.11540195,2760.66848695,2755.95482345,2555.16795469,2810.84308739
1210.80631647,1612.14994886,1579.97073053,1522.29767389,1569.43851733,1697.28542184,1656.74719915,1618.60066007,1639.42262589,1682.65827085,1553.39282673,1706.77696559,1672.24668968,1883.23247034,1869.53311616,1901.54098612,2083.91114599,2141.93758019,2233.74380262,2083.60829623,2424.22636343,2114.72789646,2263.95675545,2264.53547436,2409.23183551,2406.19358742,2458.23716815,2511.07258247,2672.64907423,3015.92661746,2755.53162404,2799.97122597,2773.74832757,2690.17415821,2836.48343624,2760.4162072,2749.92488388,2530.23700769,2789.34793585
1202.7385674,1600.72564141,1555.28061221,1517.9624399,1541.13537585,1696.99619622,1626.53270656,1616.04083394,1601.27748253,1681.57262962,1534.79605574,1694.77686965,1669.05563875,1852.42735861,1843.87953666,1865.54288922,2080.96966149,2122.19088531,2177.3067544,2059.96274696,2415.74240984,2099.07068105,2235.95853392,2241.1728928,2397.46347112,2400.18649237,2444.35030212,2495.79680329,2663.02464384,2949.5649606,2750.0291108,2761.16461444,2771.90688242,2687.63627674,2833.83822646,2753.8093869,2732.69911318,2523.2684037,2772.50318289
1189.43047729,1582.09697804,1549.53882013,1505.78901457,1540.88515064,1685.07854762,1606.86603581,1609.69091225,1574.72479855,1672.84324469,1530.84608698,1687.07242549,1665.54706137,1810.29109995,1835.00359644,1865.02615798,2073.79237712,2107.03676358,2166.12161905,2056.91591396,2404.54011463,2087.37247478,2207.63458196,2193.83933955,2393.0442205,2351.45902391,2399.68749944,2490.33792077,2646.78847256,2877.93020938,2700.28274776,2670.28395513,2762.672066,2676.23260611,2828.37695656,2716.19735049,2712.13563592,2501.75356294,2760.35498261
1123.32695033,1568.09814893,1545.65017444,1501.22326442,1540.6124177,1682.73529432,1600.19754591,1583.15857602,1562.6737102,1608.41871617,1523.93031477,1650.82416601,1644.25221386,1803.00789533,1814.29160764,1854.66002236,1999.31683456,2103.66104759,2115.70740174,2029.26684812,2385.40999867,2046.06998183,2204.4707477,2179.38362075,2349.80713276,2350.77546051,2397.82621626,2459.88644816,2614.55168853,2810.86675345,2685.9276807,2631.05811857,2695.47506919,2657.32589453,2768.95114937,2678.6411478,2673.21073909,2467.74130829,2712.23650073
