4071.41839416,3853.91435126,4308.08103937,5289.49416385,4772.64156183,5081.05238345,4601.88058512,4444.12074627,5114.60540205,6088.31624997,5957.652355,5642.6765424,6393.81147164,6244.73369577,6789.91270907,6583.72786012,6747.32052318,6924.40699575,7073.89932423,6668.97972041,7697.04691364,7193.32077891,7014.01935826,7159.9246507,6993.68140203,6415.76675773,6753.94118609,6945.56298784
2850.99010318,3531.18640394,3928.0677369,5118.18530617,4648.58841164,4883.81442864,4411.2584737,4379.83120613,4930.07033575,5617.03910733,5649.59692416,5528.12631306,6062.73502423,6060.46397132,6686.96451039,6204.91638679,6671.85432199,6706.98073836,6847.78358528,6412.59167016,6877.23616392,6823.2520277,6992.27045195,6933.83854904,6951.1255814,6213.23161645,6681.4618363,6878.43002696
2394.19129423,3123.21342312,3680.63614521,4908.17623696,4540.58972526,4843.65263042,4314.84443962,4148.03004256,4824.71526029,5551.27936878,5478.01827668,5353.07745447,5997.52467164,6040.00852324,6624.31751392,6141.8211062,6265.65529696,6486.68993487,6586.72769843,6298.51990047,6772.12993888,6754.40486278,6646.22050153,6645.68919883,6857.92859821,6076.29263355,6506.50561281,6773.34552361
2385.55616435,2860.28573374,3674.65468436,4674.49708664,4341.98567817,4220.6244565,4274.85959974,4053.28500123,4811.87065284,5326.74908932,5452.87498533,5302.96506424,5851.8521036,6003.67885525,6594.43642072,6113.7176212,6265.54068674,6238.64578324,6481.83238459,6270.29215706,6678.67735565,6716.41835919,6525.29840465,6548.00024808,6822.33635255,6043.91307014,6418.05180254,6763.3462663
2158.42120099,2650.83188071,3490.59357237,4375.43250927,4170.30013998,4093.37670531,4272.67589733,3867.58266823,4618.3782014,5287.89197306,5441.90867961,5246.1223369,5720.26845904,5998.40283812,6235.11601234,6072.44764569,6136.33386959,6206.64470303,6344.99318485,6269.87722813,6507.63495091,6563.52569017,6520.40957589,6476.51825565,6804.47866691,6026.92866663,6291.38364091,6679.25371988
1933.58500641,2595.00916817,3430.09141513,3939.31704899,4107.08414402,3986.16851366,4045.31370885,3791.55579397,4599.82877115,5209.34699402,5415.2018109,5197.83832045,5715.81042353,5925.64662495,5873.99580294,5976.93836287,6090.17354953,6139.94968625,6312.87389424,6185.32936721,6473.23058651,6490.38703561,6484.25245301,6452.5473214,6705.52984535,5986.66016631,6267.29285123,6670.88886196
1734.69324708,2406.43415383,3314.82400561,3919.91931093,4095.39564381,3906.45510198,3783.41553487,3714.07648613,4515.74390609,4805.2689872,5285.14665698,5063.31187592,5649.13370342,5913.80091044,5822.15877711,5825.55425573,6069.74843898,6126.87447813,6207.92211911,6171.92117215,6450.29119704,6315.65954629,6315.61234141,6436.29619603,6377.50602888,5967.56567014,6227.96543825,6661.36142124
1537.42218931,2405.20232649,3101.07570302,3892.78284123,4047.79362311,3752.03001222,3722.94549671,3669.40127201,4514.52448561,4760.98660857,5270.53926061,5050.42058003,5621.54263839,5910.13861914,5776.60778246,5727.69261205,6065.65629489,6103.81544877,6201.81181108,5968.47366489,6420.39107466,6197.15163322,6240.61334504,6219.19556047,6348.25220928,5925.51411366,6190.01361765,6574.63023405
1150.93099876,2146.61979396,3061.17068953,3856.61538908,3869.95392182,3703.17467319,3618.7426706,3602.42160279,4493.00468321,4759.69496164,5269.74401434,5038.12704757,5578.41816672,5809.54314125,5687.46058182,5687.91486493,6056.35869449,5850.72182716,6013.10329855,5896.88270287,6380.22257454,6154.00767017,6180.24299415,6185.28986158,6321.62042429,5897.53460881,6096.44132129,6551.73721596
57.1081283524,2121.24335481,3044.97177354,3686.17946504,3778.83343947,3676.41691416,3541.24415894,3567.02443034,4470.18882767,4744.11355529,5225.61470333,5032.70542892,5522.08722622,5801.8451949,5594.94344327,5675.74479162,6014.28880887,5847.75746149,5943.92755869,5884.33173108,6308.72687586,6010.51187034,6103.62081925,6171.76070412,6272.94964517,5892.46302004,6062.1021664,6479.35515694
