5764.23032133,6881.64199647,6304.09203426,6238.49081023,6851.13326322,6436.74029659,7291.69114192,6748.21213257,6597.70482623,7293.40879369,7059.48276143,7050.82891394,6637.97205792,7119.21618202,7346.80773668,7296.37358188,6689.48126757,7546.14254922
5450.31084697,6397.48729706,6134.07247566,6210.36598224,6546.6027707,6406.52321057,6455.7870246,6551.36212918,6522.72847801,6852.26031578,7029.68591595,6804.69507278,6588.01835365,7075.30545963,7247.03581872,7169.77005045,6587.31271714,7536.47394677
5129.09549651,6319.53761995,6106.62973731,6184.48611388,6437.66005848,6279.32993462,6147.65391204,6500.39091302,6362.4487459,6779.56106022,6868.6079027,6526.57356125,6479.40322295,7070.38473451,7175.97405188,6933.64053989,6566.02476497,7368.13532555
4914.87883138,6238.1393062,6091.67025324,6155.04199749,6195.24592566,6227.94127936,6043.31973951,6441.99286394,6266.02757959,6709.92365753,6852.87365106,6524.14146976,6469.88895741,6947.37320041,7145.14528151,6916.70123625,6524.96399029,7068.17282995
4722.76215154,6236.71653797,6018.06952289,6106.51588008,6160.58922453,6190.46160756,5779.57930983,6360.13933559,6251.70710925,6501.79964477,6760.83600129,6478.34100675,6401.53786238,6681.67960921,7083.80076466,6822.04252164,6416.38192808,7027.38347805
4449.90870838,6138.00591106,5906.70491014,5924.42961596,6061.49628766,6093.54535522,5676.69971311,6359.100465,6195.08201256,6429.67364358,6738.48778566,6467.7937996,6366.05962859,6576.67944752,7036.95981638,6700.89402063,6371.99193247,7020.93011567
4385.66590269,6069.52625765,5614.58749917,5842.55833781,5886.11871125,6062.83326176,5672.16989408,6302.87381955,6156.31572854,6347.62318447,6630.21853476,6413.87916548,6293.85923386,6563.02687454,6836.27945276,6567.76437322,6333.78646071,6975.69986502
3883.02308751,5977.04593053,5488.66040884,5753.50966172,5787.15673264,6051.53610207,5580.5481187,6254.43215661,6110.3603511,6345.05843421,6603.33095893,6378.7765609,6165.70933458,6535.21408822,6810.2530205,6396.79131696,6161.97490355,6964.27700866
3772.85988756,5964.80331556,5478.37910324,5729.41510518,5753.29422272,5993.32486001,5498.09417632,6173.49549082,6055.44588334,6293.01447402,6599.66766052,6346.59424408,6114.761731,6518.38127403,6794.41234873,6395.05005213,6145.75950503,6953.29242224
3132.43503791,5909.18493684,5476.39288919,5697.81301103,5740.88048594,5974.84890234,5473.84997394,5991.31749255,6021.42905764,6289.54543698,6533.55642605,6312.38448658,6100.09535867,6408.83308996,6781.21877442,6346.45432411,6117.62042153,6930.24411986
